word,category
Elbow,neutral
Fabric,neutral
Chin,neutral
Lamp,neutral
Pencil,neutral
Arm,neutral
Butter,neutral
Month,neutral
Building,neutral
Hairpin,neutral
Ankle,neutral
Paper,neutral
Statue,neutral
Material,neutral
Engine,neutral
Basket,neutral
Wagon,neutral
Office,neutral
Kerchief,neutral
Headlight,neutral
Locker,neutral
Kettle,neutral
Utensil,neutral
Clock,neutral
Table,neutral
Banner,neutral
Column,neutral
Poster,neutral
Journal,neutral
Lawn,neutral
Finger,neutral
Umbrella,neutral